Processing...
Done!
Binary class counts: Counter({0: 2108, 1: 2092})
Epoch 209/300, Train Acc: 0.8786, Test Acc: 0.8202
Epoch 210/300, Train Acc: 0.8741, Test Acc: 0.8298
Epoch 211/300, Train Acc: 0.8812, Test Acc: 0.8238
Epoch 212/300, Train Acc: 0.8783, Test Acc: 0.8238
Epoch 213/300, Train Acc: 0.8854, Test Acc: 0.8310
Epoch 214/300, Train Acc: 0.8863, Test Acc: 0.8429
Epoch 215/300, Train Acc: 0.8711, Test Acc: 0.8381
Epoch 216/300, Train Acc: 0.8845, Test Acc: 0.8274
Epoch 217/300, Train Acc: 0.8771, Test Acc: 0.8310
Epoch 218/300, Train Acc: 0.8804, Test Acc: 0.8369
Epoch 219/300, Train Acc: 0.8815, Test Acc: 0.8333
Epoch 220/300, Train Acc: 0.8875, Test Acc: 0.8345
Epoch 221/300, Train Acc: 0.8851, Test Acc: 0.8357
Epoch 222/300, Train Acc: 0.8830, Test Acc: 0.8429
Epoch 223/300, Train Acc: 0.8860, Test Acc: 0.8333
Epoch 224/300, Train Acc: 0.8812, Test Acc: 0.8369
Epoch 225/300, Train Acc: 0.8851, Test Acc: 0.8321
Epoch 226/300, Train Acc: 0.8917, Test Acc: 0.8345
Epoch 227/300, Train Acc: 0.8881, Test Acc: 0.8298
Epoch 228/300, Train Acc: 0.8875, Test Acc: 0.8310
Epoch 229/300, Train Acc: 0.8830, Test Acc: 0.8083
Epoch 230/300, Train Acc: 0.8875, Test Acc: 0.8274
Epoch 231/300, Train Acc: 0.8881, Test Acc: 0.8357
Epoch 232/300, Train Acc: 0.8899, Test Acc: 0.8393
Epoch 233/300, Train Acc: 0.8884, Test Acc: 0.8083
Epoch 234/300, Train Acc: 0.8893, Test Acc: 0.8333
Epoch 235/300, Train Acc: 0.8908, Test Acc: 0.8298
Epoch 236/300, Train Acc: 0.8869, Test Acc: 0.8298
Epoch 237/300, Train Acc: 0.8845, Test Acc: 0.8429
Epoch 238/300, Train Acc: 0.8902, Test Acc: 0.8226
Epoch 239/300, Train Acc: 0.8893, Test Acc: 0.8429
Epoch 240/300, Train Acc: 0.8878, Test Acc: 0.8190
Epoch 241/300, Train Acc: 0.8893, Test Acc: 0.8393
Epoch 242/300, Train Acc: 0.8884, Test Acc: 0.8405
Epoch 243/300, Train Acc: 0.8842, Test Acc: 0.8310
Epoch 244/300, Train Acc: 0.8869, Test Acc: 0.8321
Epoch 245/300, Train Acc: 0.8917, Test Acc: 0.8381
Epoch 246/300, Train Acc: 0.8914, Test Acc: 0.8440
